driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
61,Kia EV3,11.0,10939.853790828683,1464.8464225919608,40,private,18,15,False,0.0,507.9195747900389,455.31523141856934,357.1370847686927,362.8767067642144,362.8767067642144,1592.2243723825677,3.8043478260869565,3.8043478260869565,0.0,0.0,130.31197985497954,119.88702146658125,264.9298894924057,275.354847880804
62,Volkswagen ID.4,11.0,13239.7156817894,1884.0115415186315,41,private,23,15,True,6.345459352592645,653.2605236352643,488.97724259201425,383.68831376314444,412.4112285469072,345.42395677101007,0.0,0.0,0.0,357.23838890346167,88.95235883696195,196.25909714703965,154.19263660532394,395.04193169368114,593.0480228482559
63,Renault Megane E-Tech,22.0,13550.919320059254,1806.3375453638987,51,private,14,15,False,0.0,626.3279097511785,391.333040669635,361.4046802222622,369.2119002570117,369.2119002570117,0.0,0.0,0.0,0.0,0.0,160.69085345223368,147.83558517605508,404.9515946702219,417.8068629464005
64,Volkswagen ID.3,11.0,11394.077355672685,1547.3157049003505,45,workplace,10,9,False,0.0,536.5149020252295,366.3643612060604,352.8253769148953,362.6886566871523,362.6886566871522,0.0,52.32042765459784,52.32042765459784,0.0,0.0,137.64840454024437,126.63653217702486,300.46277751510206,311.47464987832166
65,Volkswagen ID.4,11.0,9854.20924050079,1402.2539749232624,40,private,10,14,True,5.054793392083493,486.2163239136091,338.3788476885199,313.31802115663214,324.4448054532588,220.95025371995945,0.0,234.84385801421908,213.1547662543015,471.58452656618493,117.42454711498009,162.57527782577682,114.76428504754752,276.53580350789775,545.2658951344065
66,Volkswagen ID.4,11.0,12012.502836475165,1709.3791536304159,40,private,17,13,True,5.0440390460279705,592.708641313155,543.8799080394942,431.29808339258557,436.99541729640856,428.4342812400721,1858.0208191634943,6.7934782608695645,63.92798487948334,38.53666297708478,9.595629081294108,155.1569761951859,139.90024628192776,295.6134702986742,329.02696534956294
67,Volvo EX30,11.0,9793.860374259753,1317.2742203379366,40,private,19,13,True,3.336498344052985,456.7505177041319,389.80369193247316,319.0458884867184,322.1606030471077,321.41083544633796,1320.0,1.358695652173913,14.649818072528507,6.439395393090132,1.603409452879443,117.70061476165435,107.80931044743296,242.39922510445712,254.64370647232772
68,Tesla Model Y,11.0,10946.950093339066,1804.0573753822782,40,private,12,15,True,3.109761257235336,625.537285594507,417.7760858485443,389.2116885651983,412.7595057025423,369.4661954591201,0.0,98.64909991607041,107.69110752394025,211.66711817530174,52.705112425650135,177.46838635136893,147.64896985357623,360.426749745541,486.24458891240596
69,Kia EV3,11.0,13109.638534144082,1755.3805997218924,40,private,18,13,True,2.5695362740951104,608.6591427296567,546.6249729316354,434.35210760119674,439.73298962348713,438.65857734533233,1760.0,3.950559775051426,25.122690028459502,7.604329656169004,1.8934780843860812,156.7677850442077,143.66512993799336,312.5912830441629,328.6618285129181
70,Volvo EX30,11.0,9728.480752283162,1308.4806611820852,40,workplace,10,8,False,0.0,453.70144664900585,313.59011615301193,295.05977627901717,303.67453226970355,303.67453226970355,0.0,15.176104923426232,15.176104923426232,0.0,0.0,116.40176262224233,107.08962161246293,257.1165359917652,266.42867700154466
71,Tesla Model 3,11.0,12714.436219941077,1487.589037733106,42,private,6,12,True,5.904594955153899,515.8053293878925,431.4252676957927,355.90113746287017,371.5210835452931,226.1131681504878,0.0,0.0,30.074768057275,614.2464817313707,152.94737395111133,181.6112790712912,121.7483390406162,266.0325848832156,624.2508142598072
72,Peugeot e-208,11.0,12433.508997436142,1546.7285192810562,51,private,22,13,False,0.0,536.311301794192,403.7425812514149,339.69826229177824,358.49138824080467,358.49138824080467,0.0,0.0,0.0,0.0,0.0,137.5961688113566,126.58847530644819,304.4083888598355,315.41608236474394
73,Volvo EX30,11.0,8859.005920483502,1191.5362963050309,40,public,15,4,True,3.581376885924872,413.1522592622878,352.26939426635175,347.20103043972387,352.3126668660449,326.2450646709008,415.1481481576418,499.9787439627766,500.52222222364617,95.744502314226,23.84038107624227,113.67927517001104,97.51857623447488,158.35816863071784,224.42685083764036
74,Tesla Model Y,11.0,13082.828140796108,2156.0500776031986,48,private,20,13,True,3.026299252326011,747.5869290819778,594.8778909780342,529.0845927591682,537.5059473191702,535.2430146904321,1056.0,10.601228098043384,16.503651305506736,12.566290411080711,3.129006312359097,192.80919328641448,176.4570114314572,386.5379931942648,408.28211399031926
75,Volvo EX30,11.0,12479.860296363597,1678.5412098609036,44,workplace,10,8,True,4.268070892273109,582.0159195061176,395.014356597151,386.95092507353286,396.6262163349764,306.4326901568309,0.0,30.757964914076272,43.85288634989167,404.14909669240427,100.63312507640867,181.7438371167894,137.37638496127204,322.76608813241324,557.9601915424847
76,Volvo EX30,11.0,11173.21769334612,1502.797779755053,40,private,22,14,False,0.0,521.0787953715886,410.92422261373304,350.25592048837746,371.25659478116467,371.25659478116467,0.0,0.0,0.0,0.0,0.0,133.68811295250603,122.99306391630562,272.8152645067296,283.51031354293
