car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
Hyundai Ioniq 5/6,77.4,True,2909.616084643099,960.1733079322227,427.85471528539887,43.78736825829746,1431.815391475919,864.1468730278999,567.668518448019,617.668518448019
Renault 5 E-Tech,52.0,False,0.0,0.0,420.47121773428404,26.1312961117918,446.60251384607585,534.9243094620509,-88.32179561597508,-38.32179561597508
Hyundai Ioniq 5/6,77.4,True,1855.6252981751882,612.3563483978121,0.0,2.991197179460076,615.3475455772722,887.9306147643043,-272.58306918703215,-222.58306918703215
Kia EV6 (post-24),77.4,True,1147.5431435757537,378.68923737999876,0.0,7.460441192815301,386.1496785728141,840.1685591683934,-454.0188805955793,-404.0188805955793
Kia EV9,99.8,True,0.0,0.0,0.0,44.012746313230835,44.012746313230835,812.85564409775,-768.8428977845191,-718.8428977845191
Kia EV9,99.8,True,0.0,0.0,0.0,20.369514371825925,20.369514371825925,868.9534025170167,-848.5838881451907,-798.5838881451907
Renault 5 E-Tech,52.0,False,2015.938252296774,665.2596232579355,0.0,33.34667641541054,698.606299673346,598.570236429325,100.03606324402108,150.03606324402108
Renault 5 E-Tech,52.0,False,1695.5250293399104,559.5232596821704,361.27641498880865,30.601090370594925,951.400765041574,570.3052652530907,381.09549978848327,431.09549978848327
VW ID.7 (77 kWh),77.0,True,1945.8306533358943,642.1241156008451,0.0,10.375595874226672,652.4997114750718,983.8169515175128,-331.3172400424411,-281.3172400424411
VW ID.7 (77 kWh),77.0,True,2723.5113189933313,898.7587352677994,334.83191296187624,18.000938473810066,1251.5915867034855,851.7288288026464,399.86275790083914,449.86275790083914
Renault 4 E-Tech,52.0,False,1430.226594116803,471.974776058545,0.0,20.68946190563345,492.6642379641784,582.2479956786282,-89.58375771444975,-39.583757714449746
Nissan Leaf (new),52.0,True,1677.117273057396,553.4487001089407,0.0,16.927628237880633,570.3763283468213,886.903134368665,-316.52680602184364,-266.52680602184364
Kia EV6 (post-24),77.4,True,1462.1184620130098,482.49909246429326,0.0,22.612115447349254,505.1112079116425,935.0901950360327,-429.9789871243902,-379.9789871243902
VW ID.7 (77 kWh),77.0,True,0.0,0.0,0.0,27.866011119119626,27.866011119119626,832.8949408390168,-805.0289297198972,-755.0289297198972
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,0.0,26.540534483343432,26.540534483343432,904.5418220139042,-878.0012875305607,-828.0012875305607
VW ID.7 (77 kWh),77.0,True,725.0766816964148,239.27530495981688,824.5765843021869,12.828785786466902,1076.6806750484707,909.2370191368173,167.44365591165342,217.44365591165342
Nissan Leaf (new),52.0,True,0.0,0.0,0.0,17.681929494893946,17.681929494893946,768.8468975293649,-751.164968034471,-701.164968034471
